Date,VOO,QQQ,SPY,VTI,VT,VXUS,SCHD,BND,TLT,GLD,IWM,XLK,XLF,XLV,VNQ
2019-01-28,371.12,340.3,412.91,222.35,97.99,55.93,74.13,74.58,91.5,180.4,189.15,173.14,40.16,137.48,96.59
2019-01-29,376.44,341.26,401.74,223.98,97.51,56.93,75.21,74.49,91.29,176.67,187.39,171.36,39.82,139.42,95.72
2019-01-30,375.81,339.88,400.5,224.32,97.01,56.8,75.47,74.63,92.1,177.27,188.75,171.31,39.64,139.78,93.81
2019-01-31,376.23,336.54,396.74,226.56,96.16,56.99,75.57,74.86,92.46,178.1,190.44,169.11,40.54,138.41,94.67
2019-02-01,371.35,337.11,390.8,227.78,96.79,57.28,75.45,74.91,91.36,180.48,196.23,171.64,41.78,135.94,94.67
2019-02-04,369.61,332.75,386.4,227.95,98.06,56.79,75.66,75.32,91.72,179.36,199.09,167.46,42.54,133.21,94.75
2019-02-05,370.18,320.7,386.97,227.4,97.82,56.38,75.86,75.28,92.15,178.12,199.78,167.26,42.78,134.18,93.72
2019-02-06,366.33,322.66,392.0,227.33,97.65,55.79,76.07,75.44,91.86,174.26,198.3,168.79,42.64,133.5,93.56
2019-02-07,367.8,326.53,393.33,220.63,98.94,55.37,76.17,75.64,90.83,173.88,199.11,169.71,42.27,133.03,94.75
2019-02-08,365.89,317.0,391.24,221.18,99.42,54.0,76.75,75.63,90.84,175.2,200.01,168.15,41.93,133.66,94.78
2019-02-11,365.05,313.16,393.1,220.26,99.84,54.27,76.79,75.82,90.84,174.37,198.79,169.81,41.68,133.11,94.84
2019-02-12,363.15,315.78,391.57,223.68,98.83,55.27,76.21,75.69,90.08,177.47,200.84,167.84,42.71,133.81,95.1
2019-02-13,369.68,324.16,389.17,223.83,99.45,55.36,75.85,75.6,89.1,177.14,197.38,167.91,43.6,133.98,93.79
2019-02-14,369.81,324.44,385.09,221.42,98.67,54.68,74.66,75.29,89.04,177.4,196.85,169.55,43.99,133.94,94.49
2019-02-15,366.29,321.65,378.89,221.42,97.72,54.39,75.92,75.36,88.89,175.46,198.31,170.76,43.52,132.14,93.17
2019-02-18,369.31,321.1,377.66,219.34,97.46,54.18,76.49,75.44,88.62,175.91,197.67,169.28,43.98,131.24,92.21
2019-02-19,365.23,326.86,378.38,220.42,96.99,53.71,76.0,75.73,88.57,173.1,197.23,172.21,43.88,131.99,91.14
2019-02-20,366.12,324.39,378.2,221.13,96.83,54.13,75.86,75.93,87.84,174.13,196.97,172.54,42.82,131.26,90.99
2019-02-21,359.52,321.32,376.88,223.24,95.64,54.53,75.49,75.87,87.56,175.2,194.97,174.44,42.98,132.71,90.65
2019-02-22,355.18,319.56,373.68,221.68,96.48,53.99,76.47,75.6,87.92,177.19,197.93,178.26,42.58,135.51,90.68
2019-02-25,356.01,315.91,375.99,221.86,97.48,54.35,75.61,75.71,87.69,175.76,195.47,181.15,42.21,136.36,89.78
2019-02-26,358.66,316.58,371.47,219.1,95.84,55.1,75.72,75.99,86.59,176.03,196.33,184.09,42.1,138.21,90.83
2019-02-27,359.41,323.25,374.36,220.66,96.7,56.04,75.68,76.18,86.29,176.88,197.43,184.72,41.88,139.15,91.72
2019-02-28,359.19,324.76,370.98,221.84,96.04,57.47,76.22,76.45,85.6,177.57,195.15,186.88,41.88,138.56,91.57
2019-03-01,358.34,323.92,368.5,222.99,96.8,57.03,76.19,76.4,85.78,176.35,195.41,187.57,41.85,138.86,91.1
2019-03-04,353.5,322.92,363.56,223.1,96.78,58.47,75.12,76.3,85.99,172.94,193.25,184.56,40.98,141.39,90.53
2019-03-05,351.27,316.76,361.99,224.08,96.84,58.3,74.99,76.13,84.92,173.47,196.71,185.46,41.7,140.8,90.24
2019-03-06,349.91,320.47,365.49,227.58,96.71,58.01,74.43,76.13,85.41,173.29,193.97,186.25,41.25,139.57,88.84
2019-03-07,353.57,320.35,367.43,227.08,97.78,58.2,74.51,76.12,84.7,172.53,192.45,187.89,40.82,138.23,87.9
2019-03-08,354.88,319.81,370.98,227.48,96.75,57.91,75.41,76.18,85.71,173.65,189.55,187.69,40.68,138.03,88.78
2019-03-11,349.14,332.86,372.98,225.26,97.3,58.13,74.37,76.15,85.68,173.63,186.39,185.85,40.65,136.87,89.12
2019-03-12,350.38,334.31,369.25,223.52,98.28,57.47,73.91,76.13,84.88,171.8,190.2,187.67,41.33,138.95,90.8
2019-03-13,349.27,331.35,368.26,223.83,98.94,57.37,73.6,75.95,84.16,169.12,191.57,184.39,41.47,139.27,90.52
2019-03-14,347.2,329.76,365.7,226.27,101.0,58.03,73.4,76.19,84.38,167.6,191.99,188.25,41.75,140.53,90.17
2019-03-15,349.37,334.73,370.46,225.83,100.56,58.02,73.88,76.22,84.14,170.92,190.48,187.78,41.9,140.22,89.79
2019-03-18,352.94,335.41,366.43,225.43,101.45,58.11,73.8,76.18,84.09,171.97,192.73,188.55,42.02,138.87,89.49
2019-03-19,356.22,329.53,369.69,224.68,101.39,58.37,74.08,76.01,85.12,172.28,190.8,190.15,42.19,137.33,88.85
2019-03-20,353.56,333.54,372.97,223.65,102.53,58.99,73.73,75.7,84.68,172.06,192.79,191.84,41.28,136.29,89.15
2019-03-21,352.7,330.93,379.58,224.38,102.56,58.14,73.9,76.02,84.72,171.76,190.75,188.23,41.18,136.76,89.21
2019-03-22,353.97,338.94,378.27,221.31,102.25,58.46,74.4,76.17,85.64,173.44,189.27,190.52,41.73,137.45,88.72
2019-03-25,357.4,343.76,380.99,224.09,103.46,58.34,73.98,75.79,85.82,172.78,191.16,191.45,43.61,138.24,90.01
2019-03-26,355.95,342.02,389.37,222.79,103.05,58.44,74.48,75.98,84.78,173.64,193.31,189.9,43.03,136.49,91.97
2019-03-27,355.5,347.75,387.26,224.42,101.8,59.0,74.55,76.21,85.11,173.19,194.84,188.07,43.25,136.55,93.22
2019-03-28,351.95,348.25,381.82,221.83,101.37,58.4,75.21,76.25,84.37,175.98,192.34,187.33,42.99,135.37,93.84
2019-03-29,348.14,352.2,375.2,223.34,101.96,57.89,75.12,76.64,85.28,177.09,191.34,184.09,44.0,135.91,94.68
2019-04-01,350.98,354.56,377.89,224.86,103.25,56.92,75.38,76.7,84.75,178.94,191.79,188.62,43.34,136.54,96.7
2019-04-02,355.64,350.99,371.33,225.79,103.39,56.66,75.39,76.37,86.66,178.13,189.82,192.64,43.67,135.19,97.56
2019-04-03,355.57,348.35,370.19,223.77,104.63,57.34,75.36,76.46,87.63,179.71,193.17,193.98,42.99,136.4,96.95
2019-04-04,359.11,353.08,371.88,224.41,103.41,57.29,75.55,76.53,87.11,179.29,187.4,193.52,42.85,139.28,97.41
2019-04-05,360.51,351.8,372.69,222.0,103.05,56.63,75.91,76.4,87.13,179.5,185.64,193.13,42.84,140.36,98.13
2019-04-08,358.48,350.22,374.35,221.58,102.82,56.41,75.16,76.54,87.63,181.94,184.52,195.29,43.38,140.22,97.06
2019-04-09,359.88,346.22,375.3,223.84,102.75,55.68,76.08,76.15,88.16,180.43,177.98,200.19,42.86,139.89,96.77
2019-04-10,365.28,348.27,380.0,225.63,102.87,55.15,74.95,76.4,88.46,180.78,174.92,198.75,43.2,139.7,98.01
2019-04-11,365.33,357.53,376.75,225.77,103.53,55.35,74.56,76.19,89.3,181.47,176.37,195.82,43.23,138.82,96.02
2019-04-12,370.91,352.93,374.5,223.8,103.16,54.79,74.53,75.97,89.23,182.29,176.5,200.16,43.38,139.19,94.69
2019-04-15,361.9,353.25,371.93,225.27,103.32,55.34,74.81,75.95,88.99,181.66,180.07,195.34,43.86,137.85,94.53
2019-04-16,364.88,359.75,375.01,225.42,103.32,55.33,75.81,76.06,88.76,184.8,183.65,192.75,43.24,135.61,94.94
2019-04-17,365.36,359.6,378.36,220.59,102.51,55.38,74.68,76.11,89.35,182.89,184.73,192.23,43.65,135.94,93.5
2019-04-18,364.5,361.86,380.14,222.32,102.45,55.26,74.4,75.94,89.6,185.12,185.53,188.21,43.39,136.02,93.4
2019-04-19,364.99,357.23,384.56,222.38,102.35,55.65,73.14,75.83,89.8,187.0,185.76,191.24,43.94,135.4,94.65
2019-04-22,358.31,359.37,380.45,225.01,102.24,56.05,73.18,75.57,90.35,189.96,179.62,193.65,44.12,133.92,94.75
2019-04-23,357.73,358.74,386.61,222.79,102.31,56.24,73.38,75.52,88.96,187.53,176.53,192.25,44.04,134.32,95.79
2019-04-24,359.11,363.41,392.34,216.21,102.41,56.53,74.36,75.79,89.17,186.24,176.82,195.79,43.76,133.21,95.18
2019-04-25,364.3,369.06,395.24,216.88,102.06,56.44,74.46,75.79,89.33,188.56,178.27,199.87,44.18,133.1,94.34
2019-04-26,362.69,381.32,402.07,217.58,103.24,56.73,75.13,76.01,90.46,185.71,178.99,199.7,44.83,135.23,95.27
2019-04-29,360.09,384.33,395.95,214.21,102.21,56.57,75.52,76.37,89.42,183.31,177.05,198.59,44.57,136.07,95.7
2019-04-30,358.55,386.14,394.16,212.33,101.6,56.59,75.28,76.23,90.48,182.62,179.21,204.95,44.02,134.49,94.45
2019-05-01,361.83,387.32,391.59,217.96,104.12,56.47,74.44,76.2,90.54,182.95,182.63,207.15,44.38,133.03,93.62
2019-05-02,363.12,385.82,394.43,217.43,103.21,56.26,74.64,76.73,90.88,185.38,184.86,208.03,43.67,133.27,95.31
2019-05-03,361.48,387.7,390.69,219.04,102.01,55.93,73.76,77.09,92.04,185.14,187.24,212.11,43.04,131.71,94.34
2019-05-06,363.4,386.49,393.66,217.8,102.71,56.18,74.57,76.69,92.44,184.26,185.99,213.15,42.53,129.44,95.37
2019-05-07,363.91,387.54,398.93,213.6,100.87,56.84,74.5,76.79,92.73,184.78,188.59,211.81,42.35,130.11,94.88
2019-05-08,367.41,394.2,401.72,213.36,100.69,57.44,75.26,76.8,92.9,185.53,189.01,212.2,41.72,130.53,94.91
2019-05-09,365.15,389.44,402.97,212.92,102.63,56.82,74.99,77.01,92.57,186.25,190.3,215.4,40.82,131.11,95.26
2019-05-10,364.19,395.26,399.39,212.22,101.27,57.49,75.19,76.84,92.56,186.02,191.25,209.61,40.31,131.47,93.02
2019-05-13,363.02,402.05,396.37,212.09,99.54,57.34,75.34,76.65,92.07,183.09,191.03,208.92,40.61,131.45,91.51
2019-05-14,358.17,401.7,401.22,212.72,98.26,57.66,75.35,76.49,92.04,181.75,189.04,213.07,40.04,130.74,91.62
2019-05-15,359.34,391.2,404.35,212.52,99.07,57.22,75.11,76.36,90.42,183.91,188.92,211.72,39.9,131.39,90.9
2019-05-16,360.4,388.43,404.38,210.08,100.09,57.3,75.38,76.57,90.72,184.24,191.34,216.4,40.8,133.22,91.96
2019-05-17,360.59,395.01,402.96,211.15,99.67,57.48,74.84,76.29,90.65,183.79,190.36,220.8,40.79,132.69,90.31
2019-05-20,359.96,395.13,395.42,207.36,100.31,56.74,74.13,76.15,90.42,185.52,192.57,220.76,40.96,131.56,90.92
2019-05-21,355.32,390.39,391.59,203.44,101.57,57.06,74.91,75.73,90.58,183.85,194.44,219.18,40.54,130.3,89.53
2019-05-22,354.08,388.14,398.83,204.96,103.21,57.75,75.39,75.98,89.61,183.55,193.78,218.46,41.55,129.36,89.2
2019-05-23,353.1,392.49,394.18,206.04,103.02,57.68,75.46,76.29,90.92,183.8,197.25,226.68,41.31,129.64,88.15
2019-05-24,350.59,395.42,395.06,206.02,100.97,58.39,76.52,76.22,90.86,183.18,196.44,232.73,41.22,127.26,90.08
2019-05-27,350.22,394.47,398.99,203.41,100.27,58.31,76.38,76.16,90.77,183.38,200.26,233.3,41.85,127.8,88.74
2019-05-28,351.73,392.88,394.44,202.14,99.93,58.76,77.24,76.28,90.11,183.14,201.43,231.5,41.77,128.59,88.65
2019-05-29,358.16,391.17,395.3,201.74,99.74,57.63,77.38,76.64,90.13,181.08,201.47,232.05,41.81,126.6,86.94
2019-05-30,358.92,386.86,398.97,198.79,99.61,58.87,76.76,76.75,91.09,181.4,199.3,233.0,41.69,125.56,88.54
2019-05-31,359.97,394.96,399.19,197.5,100.63,59.67,77.95,76.59,91.81,179.47,199.16,229.15,41.58,125.71,88.98
2019-06-03,359.89,393.6,410.19,198.81,101.8,59.53,78.62,76.21,92.41,179.75,198.73,229.56,41.77,125.6,89.14
2019-06-04,353.53,399.87,403.9,201.58,101.68,58.51,78.57,75.95,92.8,181.82,195.65,233.94,42.04,126.23,90.66
2019-06-05,353.61,407.77,408.12,200.88,102.7,58.68,79.07,75.98,92.55,181.44,195.19,228.27,41.75,126.13,90.84
2019-06-06,353.98,413.14,407.63,202.41,103.06,57.95,78.84,75.83,91.54,179.75,193.3,231.05,41.41,127.59,91.1
2019-06-07,362.39,411.14,410.78,198.85,103.16,58.19,79.4,75.89,91.41,179.6,194.8,235.61,41.13,127.29,91.26
2019-06-10,361.9,413.47,412.67,200.18,104.02,58.42,77.88,75.76,91.26,178.42,198.08,233.95,40.5,126.24,91.87
2019-06-11,363.11,413.59,409.99,198.76,104.12,57.95,77.26,75.52,91.99,179.33,195.1,239.61,39.78,125.11,91.39
2019-06-12,363.16,409.13,411.06,199.43,106.05,58.54,77.91,75.25,92.21,179.16,199.39,237.49,39.93,125.98,91.2
2019-06-13,359.32,411.05,404.02,199.06,104.74,58.97,77.78,75.63,93.34,181.71,199.14,239.11,40.37,126.06,92.06
2019-06-14,363.37,405.19,406.5,201.64,104.3,59.49,77.95,75.85,94.19,183.48,196.77,238.27,40.78,126.82,92.38
2019-06-17,366.13,411.49,407.83,200.07,104.22,59.52,77.12,76.27,93.88,183.3,198.73,237.42,39.69,127.57,92.29
2019-06-18,369.04,409.33,410.46,201.35,104.66,58.79,78.32,76.41,92.61,184.41,197.69,235.56,39.6,125.35,90.85
2019-06-19,366.05,410.61,414.75,200.91,105.87,59.31,79.11,76.32,93.59,183.86,197.57,238.01,39.12,124.14,92.43
2019-06-20,371.07,412.32,416.37,200.71,105.89,59.19,79.01,76.64,94.56,183.96,196.64,240.98,39.19,123.08,91.76
2019-06-21,366.33,411.22,417.13,200.45,104.6,58.48,78.78,76.64,93.59,183.46,194.69,240.94,39.02,122.25,92.82
2019-06-24,368.54,414.5,413.84,198.95,105.41,59.19,79.48,76.71,94.66,184.65,196.55,236.57,39.3,121.85,93.03
2019-06-25,376.34,412.27,411.24,199.01,106.15,60.3,80.8,76.7,94.94,186.86,195.92,238.06,39.3,122.98,91.7
2019-06-26,373.0,417.04,416.03,198.99,104.37,60.3,81.46,76.0,95.07,188.13,192.45,239.62,38.47,124.33,93.03
2019-06-27,371.18,410.22,421.86,199.54,104.4,61.46,82.94,76.39,96.23,189.6,193.86,239.07,38.06,124.06,93.33
2019-06-28,371.71,411.11,421.09,199.79,102.98,61.53,82.35,76.52,97.22,191.07,190.99,245.43,38.08,123.84,94.77
2019-07-01,370.12,421.4,421.46,201.4,102.41,61.34,81.83,76.61,97.71,191.98,188.29,240.29,38.13,123.12,94.6
2019-07-02,364.87,416.34,418.04,203.25,101.63,61.02,81.06,76.61,98.06,190.24,191.2,233.07,37.54,123.28,95.39
2019-07-03,365.28,413.03,422.86,201.33,102.39,61.92,81.39,76.65,98.53,192.93,188.39,230.88,36.9,123.55,93.51
2019-07-04,361.79,415.95,425.7,203.08,102.54,61.51,81.54,76.52,98.24,195.83,182.97,233.32,36.94,124.48,93.01
2019-07-05,363.58,417.14,433.69,200.9,101.41,61.92,81.47,76.68,98.2,195.5,184.48,230.07,36.36,125.41,91.7
2019-07-08,360.59,419.23,430.28,202.11,102.23,61.63,82.04,76.37,97.54,194.95,183.84,227.11,35.69,122.92,91.34
2019-07-09,366.04,422.07,428.93,203.39,100.98,61.4,82.9,76.42,97.3,195.98,183.41,230.26,35.52,122.81,91.86
2019-07-10,363.51,425.69,430.06,199.81,101.31,61.98,81.9,76.57,97.04,196.91,182.76,231.9,35.33,124.36,91.26
2019-07-11,362.58,431.9,432.87,200.08,100.62,61.79,81.53,76.53,96.58,196.63,183.36,233.28,34.99,123.94,92.18
2019-07-12,365.54,434.39,432.18,199.29,100.33,61.58,82.11,76.63,96.69,194.66,181.7,235.97,34.73,125.24,91.31
2019-07-15,361.46,433.32,428.8,197.96,100.81,62.21,81.83,76.4,96.46,195.2,185.15,234.75,34.75,124.95,92.26
2019-07-16,362.41,437.25,432.56,200.58,101.31,63.11,81.33,76.17,96.84,196.12,181.78,233.69,34.47,125.2,93.66
2019-07-17,367.06,447.98,435.7,199.44,102.54,63.48,82.04,76.24,95.66,197.34,182.87,236.48,34.51,124.0,94.76
2019-07-18,361.66,447.5,432.12,198.01,102.5,63.14,81.2,76.41,95.58,197.95,184.42,232.24,34.38,122.85,94.42
2019-07-19,362.46,442.27,437.84,198.25,102.82,62.87,81.04,75.97,95.68,197.56,182.73,225.51,34.46,123.69,92.18
2019-07-22,363.52,448.7,442.87,199.63,102.46,62.93,81.29,76.1,95.47,199.21,180.45,224.31,34.81,124.71,92.82
2019-07-23,366.38,448.29,443.63,199.45,102.66,63.13,80.94,75.98,95.35,199.37,182.83,227.37,35.15,124.79,92.71
2019-07-24,362.27,436.28,444.16,201.75,103.09,62.59,81.49,75.95,94.22,198.65,180.62,228.34,35.68,123.49,91.72
2019-07-25,357.93,441.2,446.67,202.86,103.04,63.01,81.14,75.63,94.48,198.41,179.31,231.21,36.03,123.59,91.17
2019-07-26,359.86,438.49,443.23,198.78,101.44,63.08,82.11,75.44,94.95,195.62,181.39,224.92,36.14,125.02,92.68
2019-07-29,361.04,438.25,443.55,197.88,101.77,62.14,82.06,75.68,95.31,195.37,181.54,226.06,35.98,126.99,91.51
2019-07-30,362.07,440.34,434.72,196.92,102.13,61.65,82.54,75.7,96.06,196.52,177.5,228.27,35.83,126.7,92.03
2019-07-31,363.43,441.66,438.51,197.91,101.56,61.39,83.08,75.61,96.22,197.11,181.48,224.16,35.49,124.9,92.28
2019-08-01,361.26,445.87,432.24,193.09,100.44,61.37,82.68,75.59,96.57,199.62,180.34,227.0,35.5,125.88,91.94
2019-08-02,362.23,443.69,438.57,197.84,101.79,62.41,81.33,75.72,96.7,199.23,179.49,226.81,35.8,125.62,92.64
2019-08-05,363.41,446.82,437.39,198.92,102.26,62.56,81.6,75.83,97.21,200.08,180.14,236.62,35.52,126.72,94.38
2019-08-06,361.13,445.63,436.7,199.3,102.09,62.11,81.68,75.83,96.06,201.42,181.63,229.65,35.51,127.09,94.1
2019-08-07,367.66,450.04,434.3,201.62,101.11,62.25,82.08,76.1,95.41,205.34,186.19,234.18,35.25,126.16,93.87
2019-08-08,369.49,453.8,433.31,206.18,100.41,62.07,81.96,76.34,96.57,205.63,182.37,233.06,35.35,126.28,94.56
2019-08-09,365.5,448.72,439.31,207.97,101.6,62.27,81.71,76.45,94.78,203.92,184.34,228.01,35.14,127.79,95.57
2019-08-12,367.94,455.13,429.17,209.94,101.76,62.6,83.08,76.47,94.68,205.38,186.14,226.5,34.86,127.68,95.47
2019-08-13,364.73,452.33,434.54,210.3,101.3,63.29,82.11,76.64,95.53,208.57,185.89,227.54,34.6,126.57,95.17
2019-08-14,367.62,457.2,436.12,210.11,101.79,63.29,82.64,76.72,95.47,208.07,187.81,230.97,34.81,124.85,92.8
2019-08-15,371.82,459.59,431.33,209.27,101.1,64.22,82.28,76.99,95.19,209.55,190.1,236.65,34.79,124.06,92.01
2019-08-16,369.11,470.5,427.14,207.74,102.47,64.76,82.09,77.21,95.29,211.71,186.86,241.48,34.63,123.66,90.85
2019-08-19,372.65,469.46,434.09,206.49,103.73,64.37,81.91,76.97,95.04,213.52,191.06,238.42,34.75,124.61,91.59
2019-08-20,374.28,467.67,430.4,203.95,103.34,65.64,81.4,76.72,95.07,213.79,187.38,242.33,34.59,123.43,91.36
2019-08-21,377.36,467.84,425.9,203.9,102.8,65.85,81.82,76.56,94.59,212.62,184.77,243.81,35.05,125.18,91.1
2019-08-22,384.3,466.33,430.66,200.75,100.47,65.38,82.78,76.8,95.39,212.53,184.24,241.78,34.67,123.76,91.12
2019-08-23,383.6,471.31,432.23,201.21,99.19,66.35,83.13,76.43,96.42,213.38,188.78,241.24,34.61,126.35,90.25
2019-08-26,381.05,461.99,428.59,201.24,98.05,67.59,83.24,76.54,96.33,215.02,188.12,239.04,34.07,128.33,91.87
2019-08-27,378.03,456.13,429.65,201.61,98.21,67.59,82.6,76.63,95.33,215.66,188.12,239.33,33.95,128.55,93.25
2019-08-28,375.29,450.27,425.67,200.71,97.96,67.31,82.98,76.92,94.96,215.04,191.59,237.08,33.32,126.74,94.99
2019-08-29,375.2,455.93,430.29,206.64,96.83,67.22,84.48,76.98,94.84,216.07,190.94,233.87,33.61,126.73,95.76
2019-08-30,376.59,466.02,434.79,209.4,96.63,67.66,84.25,76.66,95.2,217.64,188.18,235.59,33.92,126.35,95.75
2019-09-02,377.75,465.69,437.17,207.03,97.09,68.45,84.02,76.44,94.49,218.37,187.27,237.82,34.23,124.99,97.54
2019-09-03,380.88,464.97,438.85,207.59,97.58,68.81,83.67,76.16,93.95,216.92,190.57,237.37,34.25,125.36,96.82
2019-09-04,381.11,465.66,446.35,206.5,95.98,68.89,83.37,76.04,94.32,216.65,190.82,242.04,33.92,124.51,95.89
2019-09-05,386.53,472.75,446.54,204.61,95.9,69.82,81.53,76.01,94.99,218.39,195.54,241.33,33.63,123.78,95.27
2019-09-06,385.74,467.51,441.75,202.12,94.77,69.65,81.83,75.74,94.55,215.97,197.43,240.49,34.22,123.61,95.86
2019-09-09,395.84,469.19,443.82,203.04,95.55,70.3,81.29,76.1,93.61,212.32,195.91,242.87,34.79,123.04,95.06
2019-09-10,398.37,475.24,452.76,201.83,96.25,70.14,80.25,75.79,95.94,214.99,196.11,242.6,34.85,125.34,94.93
2019-09-11,395.33,478.52,448.62,203.77,95.52,70.43,80.78,76.12,96.51,215.94,194.08,243.05,34.66,124.81,93.23
2019-09-12,391.52,479.95,447.28,205.78,94.91,70.37,80.1,76.41,96.33,217.06,192.52,234.74,35.21,125.35,93.77
2019-09-13,393.49,486.29,449.23,208.55,94.56,70.36,79.91,76.64,96.97,215.2,203.46,234.96,34.95,125.56,92.19
2019-09-16,392.85,470.02,449.2,206.97,92.71,70.15,80.9,76.48,96.88,216.55,206.16,229.18,35.05,126.01,91.24
2019-09-17,395.69,474.31,445.23,208.0,93.02,71.0,80.0,76.57,97.53,217.09,208.47,225.46,35.6,126.54,92.53
2019-09-18,397.64,470.68,450.14,209.34,92.83,70.56,79.03,76.27,97.65,214.33,206.92,221.45,35.28,127.58,93.8
2019-09-19,397.56,460.11,460.21,208.51,93.66,70.12,79.23,76.5,97.73,216.88,211.09,218.41,35.62,127.93,94.23
2019-09-20,394.57,463.35,461.26,207.08,92.78,71.45,80.01,76.49,97.65,217.21,214.1,216.91,35.84,128.24,94.55
2019-09-23,389.11,471.64,457.52,210.33,92.31,72.08,79.01,76.4,96.59,216.56,219.26,215.6,35.84,128.37,94.01
2019-09-24,387.65,471.1,451.02,210.88,91.12,70.59,79.3,76.12,98.01,215.94,224.41,217.74,35.45,128.26,93.22
2019-09-25,390.97,477.04,452.32,212.25,90.34,70.25,79.71,75.53,97.32,212.43,220.32,218.56,35.17,127.29,92.86
2019-09-26,391.95,487.01,457.24,210.7,89.43,69.15,78.4,75.29,96.33,213.51,217.33,212.96,35.3,127.28,91.3
2019-09-27,387.52,495.37,459.49,208.38,90.25,68.59,78.94,75.57,96.18,214.02,214.67,213.36,34.74,127.6,91.59
2019-09-30,388.34,505.9,459.68,207.36,89.73,66.71,79.54,75.48,95.49,213.73,212.2,214.45,34.81,128.11,91.67
2019-10-01,389.94,510.93,457.32,207.21,89.86,66.65,79.37,75.45,95.46,216.02,213.15,213.63,35.03,128.37,90.73
2019-10-02,386.87,511.72,452.8,205.23,89.59,66.0,80.22,75.61,95.97,213.62,211.71,213.6,35.43,128.16,92.37
2019-10-03,387.62,501.7,456.57,205.3,88.62,66.05,80.99,76.05,96.7,212.63,217.32,214.32,34.89,128.15,93.04
2019-10-04,388.01,500.44,460.71,202.13,88.52,65.12,81.09,76.38,97.3,211.2,222.62,216.74,35.42,127.58,93.8
2019-10-07,384.01,495.42,454.18,200.08,89.02,65.19,80.83,76.15,97.08,210.77,222.69,212.17,36.11,127.99,93.31
2019-10-08,385.49,509.27,461.2,201.45,88.1,64.97,80.21,75.7,97.13,210.93,228.27,211.6,36.29,127.8,93.33
2019-10-09,387.72,508.44,463.91,202.69,88.76,65.85,80.22,76.27,97.43,211.73,232.64,216.17,35.88,128.06,94.03
2019-10-10,391.87,509.54,470.25,202.04,88.13,66.68,80.63,76.82,96.15,211.18,231.41,220.57,35.76,129.24,94.22
2019-10-11,395.96,513.38,464.49,200.19,87.78,67.16,80.45,76.88,96.57,209.71,225.64,223.33,35.75,128.49,95.96
2019-10-14,390.99,513.97,458.7,198.34,88.23,66.99,79.03,76.58,95.51,212.65,225.11,225.15,35.87,129.22,95.77
2019-10-15,387.71,525.25,458.25,197.74,87.74,68.18,79.88,76.82,96.99,216.9,223.37,230.48,35.9,129.32,95.25
2019-10-16,389.78,521.44,460.63,199.04,87.8,67.27,80.04,76.8,96.7,217.21,224.04,236.77,36.02,131.68,95.97
